domainID,siteID,fValue,transectLength
D01,BART,5,190
D01,HARV,5,170
D02,BLAN,5,290
D02,SCBI,8,240
D02,SERC,5,300
D03,DSNY,5,210
D03,JERC,5,260
D03,OSBS,5,130
D04,GUAN,5,90
D04,LAJA,,
D05,STEI,5,110
D05,TREE,5,140
D05,UNDE,5,120
D06,KONA,,
D06,KONZ,5,40
D06,UKFS,5,180
D07,GRSM,8,180
D07,MLBS,5,170
D07,ORNL,5,270
D08,DELA,5,240
D08,LENO,8,180
D08,TALL,5,190
D09,DCFS,,
D09,NOGP,,
D09,WOOD,,
D10,CPER,,
D10,RMNP,5,75
D10,STER,,
D11,CLBJ,5,160
D11,OAES,,
D12,YELL,5,200
D13,MOAB,,
D13,NIWO,5,110
D14,JORN,,
D14,SRER,,
D15,ONAQ,5,90
D16,ABBY,15,180
D16,WREF,15,180
D17,SJER,5,280
D17,SOAP,8,170
D17,TEAK,10,230
D18,BARR,,
D18,TOOL,,
D19,BONA,5,50
D19,DEJU,5,30
D19,HEAL,5,20
D20,PUUM,8,90